Total oos: 16794
Total Jupiter OOs 14057

owner,oo,amount
3SK78yq8xSJv7nFVtb4zfD9p4Tp4AwNatyxnD26ujNcU,4QGW8ppMqit5PGD2c7fue4FLsqgbQBXBukevnfvL7haK,'2702702702.7027'
8yVorkxPHcksSM6UaPEZnzAcordbgvCPcMtVGqtYWLvu,Adkd3KtcT5bfdFEHNuXGy181Yg23WVxN1iFbfS7bQq1K,'2702702702.7027'
9z2yJFQLLVX7uoMtK4AX6EJnKGc5KyMdda3WeLGdX7h9,AH2CNNpN4GEvMdiC5F8dHwe12MQrnntda3TdMFogXx4P,'2702702702.7027'
H6gpFZFNh57rk4yvK2arDSRnYJE4L43YhFBoQZok8qQv,77M76A26SC7ttXdtrkKPUK8XAyCDjR5K5v5Ki9eic9tR,'2702702702.7027'
6umdDWaKz8535t2vnUvLCvB3ZEzeC9az4pZLZhdWsoB1,EAdoVhg5G49zgwKzQZEFKDiCngxzC2UCwGrEww979Yn6,'2702702702.7027'
766b9Q66WRSqYgcTP7nMtfUn4oQUmoeKvQvpgPhLAZLG,8qKr9Lk3wLEoGedzxEUYLgo96r8ciadymqFDKV6UUerR,'2702702702.7027'
73RaBk5kyTGXK74RGjr7pnAZtahzMU1s4Cc9JSYboSc1,AfCrc57VNm7VoFXL4onaWNqzafLC62AroRwDGWXtB9x5,'2702702702.7027'
BYPGfaoG5xJREvLY3yzQWRgyTrufEg7FrgUXrgcU3VPc,D9Ao5ic2Ry8SsPB35zHyr5vw1AdW5o3uUwaby32LsYzF,'2702702702.7027'
4bDwQq2KRJC97FJhxhxDqmgQAEUQZ6Riyjwo5tSX6g2F,8FxH8RES71zthKVcLn9dYUbPuCJe8QxuGGF711jwvsDX,'2702702702.7027'
4mcoPnd11EcVGyuiRC3Mwg7wbcLs4Qnvw6t7TbBe8D1f,FobGimWQNe9sn8awB3TX5eSg8UYZqdPnsRgJsxz9P1ZZ,'2702702702.7027'
H2ikJvq8or5MyjvFowD7CDY6fG3Sc2yi4mxTnfovXy3K,p7for2uhNzebWjXrHfnE3qi1JhrHZo86vaqnbnQF77y,'2702702702.7027'
DUELLrBB96snTu3Wn3Cjyj7s2pRRqiG5LpPCC1fmw2Wm,F5YCezRamh8DGkkGWFoDnFfa8vAaUMdV9CWWwvmPngSb,'2702702702.7027'
2AYJiowBnk6TxiqYn4BysFYo6451sJTqYj71CwMznAhC,7eBt6VdwX5g3eHuACQ79nnsvbJjuxKFMR82GdWJksFWN,'2702702702.7027'
G58Rn2CUEcLjdSecv2vwZKYGdJa2N8VJKjM1USvMAV22,CJDs97yehWkYq3cPeF9Y6vuUN3DRTeeXnz25VFn56FUm,'2702702702.7027'
DBHKdEsSiH4uUevw3PnE2nAefdD2N4C3XJ9TR2ecxK4N,BmndZSPYdUJnsMeNxTKFbDugjqkqEFRVREjUZkcTaYfi,'2702702702.7027'
ED4iBUkqEeAKTWrt4RaGmMwcfwJz8yMhmdpuQebNskgz,6wyruyyrHPNMNciYANZiiVwteYhUt2CT6CauPTz9Q5CK,'2702702702.7027'
4mAeCBbUuRotXviibCCUQb6suij7fWoVv7sZvwvyG5XW,G8Uv5rbyhLQrHRSRFjahrqV4WXjSozRTaZkvQuQZU7aS,'2702702702.7027'
dKMjeGJ4Mk9S3hxdfTThvZ7exks2xMwWqSM5NvN2CTK,6W7mR86j5LoEx9Tr8BpfT3zhPg5K5UeQgDC7APuiVXBZ,'2702702702.7027'
GG9bktoBbe11cno3JfVWDWi5s6Q2Kmx2NnYGckWcfw57,ET7RtMHyU7osLurLLT8YTrJDSWrncUYgxvph2vp6k12P,'2702702702.7027'
TWKbZg3B4FDuDTSfSwCJTriMGexpz9fsYf8spMvpvvJ,2A1Kq1e7wBkFEZsMdnrcYrfyoKPLzt4M9VUHHcKF6dkv,'2702702702.7027'
GroxpL6f4uFcdjLvdUNz5WWbNf75QxjKFcombaUpKJKS,94yfHv1nFZB5HSpFCN8MKpTMJcktXHapUCiH5kngDgSa,'2702702702.7027'
5kvb1eU3LSC1SSsoet2cQc3txPje43ML3LQGpMcCZ3ZN,FJMWXpsNkTarTNZS53gPrFiaEV34TJBBFM6b9o13HBV2,'2702702702.7027'
DzkizFPBPmT64v5JLHVA2Z311ZfP2mQ5hzrMWxaHgMi5,C2rfHjRZTBrvzA6DcyaiowcFsVbazkyVW1vf9wx3sUwA,'2702702702.7027'
Bm3oRkwunfBxetS6YVLNWeKNHWRSNjNqkdWwWxoGtEqm,7GMGietugvc9ipQ7eURNmC8NSTubTJqHj7MJGjKkJB86,'2702702702.7027'
